mbti,enneagram,role,movie,img_url,enn_1,enn_2
ESFP,7w6,Von Schenken,   Ondskan / Evil ,https://www.personality-database.com/profile_images/160583.png?=undefined,7,6
ESFP,7w8,Lee So Hee,   The Battleship Island,https://www.personality-database.com/profile_images/190197.png?=undefined,7,8
ESFP,7w8,Eddie,   Ice Age ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Hiro Sakurai,   Koizora ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Charlotte Howe,   The Art Of Getting By,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Gabby Johnson,   Blazing Saddles,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Dustin Davis,   Twister,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Angela,   Matchstick Men ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Azusa Odagiri,   Hot Gimmick: Girl Meets Boy ,https://www.personality-database.com/profile_images/141611.png?=undefined,7,8
ESFP,8w7,Wimp Lo,   Kung Pow: Enter the Fist ,https://www.personality-database.com/images/profile_transparent.png,8,7
ESFP,8w9,Animal,   The Muppets ,https://www.personality-database.com/images/profile_transparent.png,8,9
ESFP,4w3,Marinês,   The Man Who Copied ,https://www.personality-database.com/profile_images/124415.png?=undefined,4,3
ESFP,7w6,Billie,"   Faster, Pussycat! Kill! Kill! ",https://www.personality-database.com/profile_images/182446.png?=undefined,7,6
ESFP,7w6,Captive Selenite,   A Trip To The Moon ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w6,Kenneth Lawrence,   Rope ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w6,David Kentley,   Rope ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,8w7,Selenites,   A Trip To The Moon ,https://www.personality-database.com/images/profile_transparent.png,8,7
ESFP,9w8,Agreeing Astronomers,   A Trip To The Moon ,https://www.personality-database.com/images/profile_transparent.png,9,8
ESFP,7w6,The Stars,   A Trip To The Moon ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Raju,   Hera Pheri ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Jean,   Madre ,https://www.personality-database.com/profile_images/190792.png?=undefined,7,6
ESFP,7w6,Taka,   Queen ,https://www.personality-database.com/profile_images/122142.png?=undefined,7,6
ESFP,7w6,Sophia Preston,   Eye Candy,https://www.personality-database.com/profile_images/179202.png?=undefined,7,6
ESFP,8w7,Carver Doone,   Lorna Doone ,https://www.personality-database.com/images/profile_transparent.png,8,7
ESFP,7w6,Pamela,   Phone Booth ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Karen,   Ichi the Killer ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,Kati Kass,   Klass ,https://www.personality-database.com/profile_images/115988.png?=undefined,7,8
ESFP,7w8,Ella Pador,   Camp Rock ,https://www.personality-database.com/profile_images/184712.png?=undefined,7,8
ESFP,7w6,Adrien,   Raw/Grave ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,3w2,Aunt Voula,   My Big Fat Greek Wedding ,https://www.personality-database.com/profile_images/93765.png?=undefined,3,2
ESFP,8w7,Benny Zadir,   Roxbury ,https://www.personality-database.com/profile_images/196922.png?=undefined,8,7
ESFP,7w6,"Matt ""Jonesy"" Jones",   Wrong Turn 2,https://www.personality-database.com/profile_images/204448.png?=undefined,7,6
ESFP,6w7,Blaire Lily,   Unfriended ,https://www.personality-database.com/images/profile_transparent.png,6,7
ESFP,6w7,Sunehri,   Dhoom ,https://www.personality-database.com/profile_images/140805.png?=undefined,6,7
ESFP,7w8,"Ronald ""Ron"" Thompson","   Honey, I...",https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Scrad,   Men in Black,https://www.personality-database.com/profile_images/103331.png?=undefined,7,6
ESFP,8w7,Joe Cox,   RoboCop,https://www.personality-database.com/profile_images/81552.png?=undefined,8,7
ESFP,3w2,Tommy Gunn,   Rocky,https://www.personality-database.com/images/profile_transparent.png,3,2
ESFP,3w2,Deborah Anne Fimple,   Secret Admirer ,https://www.personality-database.com/profile_images/153065.png?=undefined,3,2
ESFP,3w4,Ellie Lansing,   Lady Driver ,https://www.personality-database.com/profile_images/147244.png?=undefined,3,4
ESFP,7w8,The Woman From the City,   Sunrise: A Song of Two Humans,https://www.personality-database.com/profile_images/108151.png?=undefined,7,8
ESFP,8w9,Guy Diamond,   Trolls ,https://www.personality-database.com/images/profile_transparent.png,8,9
ESFP,3w4,Katharine 'Kitty' March,   Scarlet Street ,https://www.personality-database.com/profile_images/136189.png?=undefined,3,4
ESFP,4w3,Angela Vickers,   A Place In The Sun,https://www.personality-database.com/images/profile_transparent.png,4,3
ESFP,8w7,The Dog Chasing The Balloon,   The Red Balloon ,https://www.personality-database.com/images/profile_transparent.png,8,7
ESFP,3w4,Lili von Shtüpp,   Blazing Saddles,https://www.personality-database.com/images/profile_transparent.png,3,4
